DEBUG 2024-08-02 16:35:43,355 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\files\locks.py first seen with mtime 1722450068.9868803
DEBUG 2024-08-02 16:35:43,355 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1722450066.27188
DEBUG 2024-08-02 16:35:43,356 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1722450068.9848833
DEBUG 2024-08-02 16:35:43,357 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\postgres\fields\citext.py first seen with mtime 1722450067.8038816
DEBUG 2024-08-02 16:35:43,358 autoreload File C:\Users\bossf\Lib\asyncio\taskgroups.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,359 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1722450066.0108817
DEBUG 2024-08-02 16:35:43,359 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1722450069.062881
DEBUG 2024-08-02 16:35:43,360 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\colorama\__init__.py first seen with mtime 1722541909.0864365
DEBUG 2024-08-02 16:35:43,361 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\colorama\win32.py first seen with mtime 1722541909.089437
DEBUG 2024-08-02 16:35:43,362 autoreload File C:\Users\bossf\Lib\email\_policybase.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,363 autoreload File C:\Users\bossf\Lib\json\encoder.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,363 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1722450069.3558824
DEBUG 2024-08-02 16:35:43,364 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1722450079.5998821
DEBUG 2024-08-02 16:35:43,364 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\views\__init__.py first seen with mtime 1722450069.43488
DEBUG 2024-08-02 16:35:43,365 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1722450069.0508783
DEBUG 2024-08-02 16:35:43,366 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1722450067.795883
DEBUG 2024-08-02 16:35:43,366 autoreload File C:\Users\bossf\Lib\re\_casefix.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,367 autoreload File C:\Users\bossf\Lib\html\__init__.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,368 autoreload File C:\Users\bossf\Lib\weakref.py first seen with mtime 1666658050.0
DEBUG 2024-08-02 16:35:43,368 autoreload File C:\Users\bossf\DLLs\_decimal.pyd first seen with mtime 1666658088.0
DEBUG 2024-08-02 16:35:43,369 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\postgres\forms\ranges.py first seen with mtime 1722450067.8138785
DEBUG 2024-08-02 16:35:43,370 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\utils\timesince.py first seen with mtime 1722450069.422879
DEBUG 2024-08-02 16:35:43,371 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\utils\tree.py first seen with mtime 1722450069.4258845
DEBUG 2024-08-02 16:35:43,371 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1722450068.9338803
DEBUG 2024-08-02 16:35:43,372 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1722450069.0048776
DEBUG 2024-08-02 16:35:43,373 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1722450068.2658775
DEBUG 2024-08-02 16:35:43,374 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1722450066.26988
DEBUG 2024-08-02 16:35:43,374 autoreload File C:\Users\bossf\Lib\urllib\response.py first seen with mtime 1666658048.0
